iter	RMSE
0	0.2014564372
1	0.1993253029
2	0.1971373198
3	0.1950788382
4	0.193302848
5	0.1912803404
6	0.1895602959
7	0.1879738077
8	0.1862886523
9	0.1843496327
10	0.1827135997
11	0.1812533736
12	0.1796299733
13	0.1782296177
14	0.1767129122
15	0.1753403692
16	0.1740558087
17	0.172956215
18	0.1716248865
19	0.1704477072
20	0.1693603611
21	0.1682657014
22	0.1673422886
23	0.1664066389
24	0.1654319884
25	0.1645158915
26	0.1636017719
27	0.1626703627
28	0.1619170363
29	0.160907347
30	0.1602356202
31	0.1593359145
32	0.1586093394
33	0.1578601303
34	0.1572835218
35	0.1565624923
36	0.1556321784
37	0.1549510265
38	0.1543387364
39	0.1536379156
40	0.1529411311
41	0.1521581327
42	0.1515116944
43	0.1509534774
44	0.1504576313
45	0.1497428631
46	0.1492585853
47	0.1488386181
48	0.1482705849
49	0.1479091415
50	0.1474070029
51	0.1469756171
52	0.1465798568
53	0.1462316354
54	0.1458624919
55	0.1455037781
56	0.1450625878
57	0.1446127383
58	0.1442160358
59	0.1437772778
60	0.1433671975
61	0.1429735671
62	0.1425648348
63	0.1420123913
64	0.1417569722
65	0.1412591193
66	0.141005859
67	0.1406039359
68	0.1401328204
69	0.1398776654
70	0.1395352002
71	0.1392106705
72	0.1388500957
73	0.1384535097
74	0.1381627921
75	0.1378428713
76	0.1374999368
77	0.1372937162
78	0.1368755805
79	0.136675648
80	0.1362870574
81	0.1360353892
82	0.1356828775
83	0.1353485065
84	0.1351140216
85	0.1348281602
86	0.1344856833
87	0.134254569
88	0.1338815202
89	0.133607498
90	0.1333715863
91	0.1331235509
92	0.1329537543
93	0.132643067
94	0.1324459568
95	0.1321537381
96	0.1318937126
97	0.1316359737
98	0.1314930243
99	0.1313737576
100	0.1310949594
101	0.1307483328
102	0.1305139258
103	0.1303440636
104	0.1302369232
105	0.1299941348
106	0.1298345136
107	0.1297047318
108	0.129488933
109	0.1292547419
110	0.1290869314
111	0.1287489081
112	0.1286033982
113	0.1283153089
114	0.1282063333
115	0.1280170123
116	0.1278148061
117	0.1275473056
118	0.1272627174
119	0.1271787545
120	0.1269049303
121	0.1267963266
122	0.1267057252
123	0.126412358
124	0.1262105739
125	0.1260092106
126	0.1258791287
127	0.1256307304
128	0.1254283059
129	0.1253042224
130	0.1251064513
131	0.1249079709
132	0.124705806
133	0.1244881394
134	0.1243439572
135	0.1241657909
136	0.1240379754
137	0.1237844298
138	0.1235900587
139	0.1234893189
140	0.1232315256
141	0.1230481853
142	0.1229079878
143	0.1227989904
144	0.1225498624
145	0.1223469804
146	0.1221912963
147	0.1218689551
148	0.121577083
149	0.1214840453
150	0.121170715
151	0.1209667926
152	0.1207849021
153	0.1206850212
154	0.120479578
155	0.1204102319
156	0.1201924276
157	0.1200644986
158	0.1199886309
159	0.1196586827
160	0.1193825014
161	0.1193126093
162	0.119111872
163	0.1188700297
164	0.1186801889
165	0.1186062789
166	0.1183254167
167	0.1180355275
168	0.1179276874
169	0.1177169932
170	0.1174531906
171	0.1172593924
172	0.1170791216
173	0.1169554798
174	0.1167693535
175	0.1167476801
176	0.1165816055
177	0.1162771765
178	0.116195775
179	0.1160853439
180	0.1159803345
181	0.1159067886
182	0.1156962882
183	0.1155894783
184	0.1154969044
185	0.1152895567
186	0.1151002874
187	0.1149320029
188	0.1148654582
189	0.1147943606
190	0.114710354
191	0.1146290256
192	0.1145787594
193	0.1145140426
194	0.1142352992
195	0.1140009466
196	0.113924318
197	0.1137785788
198	0.1137222114
199	0.113634032
200	0.1135183534
201	0.113340362
202	0.1132304744
203	0.1131312607
204	0.1130680176
205	0.1128023298
206	0.1127763236
207	0.1124833959
208	0.1124247941
209	0.1123705462
210	0.1123193104
211	0.1122053125
212	0.1120190462
213	0.1116920508
214	0.1115562331
215	0.1114841111
216	0.1114573721
217	0.111399015
218	0.1112934094
219	0.1112477106
220	0.1111750033
221	0.1109654741
222	0.1107671848
223	0.1107006686
224	0.1103210058
225	0.1102707174
226	0.1102209779
227	0.1101894423
228	0.1099423495
229	0.1096805714
230	0.1096295248
231	0.1094552887
232	0.1091698922
